physical_link_id,link_name,hulten,primitive_F,traditional_rank,extended_rank,rank_change
westeros-0127,Honeyholt--Horn Hill,0.012510517691794586,0.0038933669085846672,55,45,10
westeros-0158,Lord Goodbrook's Village--Stone Hedge,0.015742981298664867,0.0038738642380048535,47,46,1
westeros-0019,Bandallon--Oldtown,0.0088368783977009983,0.0038532930868115396,75,47,28
westeros-0076,Deep Den--Silverhill,0.01080711293317114,0.0037460340566302028,60,48,12
westeros-0044,Castle Black--Last Hearth,0.0087461702774797034,0.0037152608071147116,77,49,28
westeros-0031,Blackhaven--Nightsong,0.018436879713856828,0.0035421182801197992,43,50,-7
westeros-0012,Antlers--Village,0.010738224397928554,0.0035309014583873987,61,51,10
westeros-0174,Oldcastle--White Harbor,0.0072469026942753728,0.0034655217355923284,88,52,36
westeros-0079,Duskendale--Maidenpool,0.020802186700265249,0.0034219273935607495,35,53,-18
westeros-0095,Godsgrace--Planky Town,0.0094348762960713706,0.0033489545108920955,70,54,16
westeros-0080,Duskendale--Old Stone Bridge Inn,0.01251163467195146,0.0033215564663613244,54,55,-1
westeros-0119,Hellholt--Sandstone,0.0090994540127202102,0.0032796405785090379,73,56,17
westeros-0184,Raventree Hall--Riverrun,0.011179405774005266,0.0032479982554270799,59,57,2
westeros-0085,Fawnton--Storm's End,0.012968370776872611,0.0032311543303315624,52,58,-6
westeros-0042,Casterly Rock--Kayce,0.0097247174270044083,0.0032269560254948593,67,59,8
westeros-0171,Old Stone Bridge Inn--Rosby,0.0098525593200923106,0.0031193172180322636,66,60,6
westeros-0187,Riverrun--Seagard,0.010300482703824965,0.0030754666419699063,64,61,3
westeros-0183,Ramsgate--White Harbor,0.0062796703951898368,0.003061395460732242,102,62,40
westeros-0010,Antlers--Maidenpool,0.018153169134909403,0.0029497623758861138,44,63,-19
westeros-0049,Cerwyn--Hornwood,0.012606810136790682,0.00285681774728044,53,64,-11
westeros-0149,Kingsgrave--Nightsong,0.0093862060983690519,0.0028114625668124917,72,65,7
westeros-0002,Unnamed house--Crossroads Inn,0.01879619784712077,0.0028055297232014937,41,66,-25
westeros-0099,Godsgrace--Vaith,0.010098708132633114,0.0028030361078425648,65,67,-2
westeros-0120,Hellholt--Vaith,0.0082261397884193527,0.0027449655818713144,81,68,13
westeros-0153,Last Hearth--Mole's Town,0.0065486650320380167,0.002700578209047975,96,69,27
westeros-0034,Brightwater Keep--Honeyholt,0.0067447876231031909,0.0026974472917126544,93,70,23
westeros-0167,Nightsong--Skyreach,0.010510470057579949,0.0026824663633195842,62,71,-9
westeros-0132,Hornvale--Wayfarer's Rest,0.014344991886325913,0.0026720210587249378,50,72,-22
westeros-0094,Godsgrace--Lemonwood,0.0076758812407179315,0.0026619853000342183,84,73,11
westeros-0020,Barrowton--Cerwyn,0.0076243825915632358,0.0026595845197989743,85,74,11
westeros-0180,Pinkmaiden--Riverrun,0.013531181172135866,0.0026572648396743044,51,75,-24
westeros-0209,Torrhen's Square--Winterfell,0.0061697340300677396,0.0026318105361492704,106,76,30
westeros-0067,Crossroads Inn--The Bloody Gate,0.0095692797438810435,0.0026037585865624144,69,77,-8
westeros-0041,Casterly Rock--Feastfires,0.0077980319268301729,0.0025666388354102206,83,78,5
westeros-0078,Deepwood Motte--Winterfell,0.0059382068334437946,0.002549766921728635,110,79,31
westeros-0083,Fawnton--Griffin's Roost,0.0090229039430979544,0.0025469751872000423,74,80,-6
westeros-0199,Skyreach--Yronwood,0.010337956228810008,0.0023429964427875895,63,81,-18
westeros-0134,Hornwood--The Dreadfort,0.0064099552675638766,0.0023200787988579994,101,82,19
westeros-0091,Ghost Hill--Godsgrace,0.0064542046939230326,0.0022903871733171003,100,83,17
westeros-0039,Casterly Rock--Clegane Hall,0.0072420207990287902,0.0022095043993980747,89,84,5
westeros-0070,Crossroads Inn--Unnamed Village,0.0083422103193681752,0.0021626562646308274,80,85,-5
westeros-0059,Cornfield--Old Oak,0.0087817373124324093,0.0021051687602125797,76,86,-10
westeros-0194,Sandstone--Skyreach,0.0064851206800521531,0.002097773220715823,99,87,12
westeros-0060,Cornfield--Silverhill,0.0059243964580628352,0.0020730210557108955,112,88,24
westeros-0151,Kingsgrave--Starfall,0.0049439315004301031,0.0020658200768810505,119,89,30
westeros-0181,Pinkmaiden--Stoney Sept,0.012033301099748967,0.0020561136823544351,56,90,-34
westeros-0140,Inn (They Ley with Lions)--Riverrun,0.0086485906041665547,0.0020474227926750577,78,91,-13
westeros-0203,Sun House--Uplands,0.0060088714769973833,0.0020235565385642064,109,92,17
westeros-0057,Clegane Hall--Lannisport,0.0062313063982132573,0.0020190372953986088,105,93,12
westeros-0064,Crossroads Inn--Darry,0.019929356152518698,0.0019833383589096237,37,94,-57
westeros-0029,Blackcrown--Uplands,0.005919750144069643,0.0019541862936181152,113,95,18
westeros-0066,Crossroads Inn--Palisade Village,0.0072675109832355204,0.0019434455069528794,87,96,-9
westeros-0058,Cornfield--Crakehall,0.0078736159608262385,0.0019355243687881566,82,97,-15
westeros-0052,Cider Hall--Goldengrove,0.007001491392235641,0.0019209616330232823,92,98,-6
westeros-0028,Blackcrown--Oldtown,0.0045002509502390323,0.0019087406754514187,128,99,29
westeros-0108,Grassy Vale--Tumbleton,0.0070159856549440944,0.0019060598209986674,91,100,-9
westeros-0170,Old Oak--Red Lake,0.006676635801967098,0.0019026290311727383,95,101,-6
westeros-0176,Oldtown--Three Towers,0.0043776264931860076,0.0018682490512609944,131,102,29
westeros-0003,Unnamed house--Darry,0.01609607863909546,0.0018622731207857015,46,103,-57
westeros-0208,Three Towers--Uplands,0.0055892173253325904,0.0018597794947659407,115,104,11
westeros-0130,Hornvale--Pinkmaiden,0.0076221113648644676,0.0018113909840278229,86,105,-19
westeros-0025,Bitterbridge--Longtable,0.0065453124896687909,0.0017625764588601856,97,106,-9
westeros-0045,Castle Black--Mole's Town,0.0033385366776315217,0.0017410324570339812,147,107,40
westeros-0102,Golden Tooth--Wayfarer's Rest,0.0067367365113825224,0.0016873125835133336,94,108,-14
westeros-0035,Brightwater Keep--Oldtown,0.0038069404160893361,0.0016331121047871841,137,109,28
westeros-0133,Hornwood--New Castle,0.004509959484497594,0.0016272427988216188,127,110,17
westeros-0089,Felwood--Stonehelm,0.0059285973285669678,0.0016030514296821155,111,111,0
westeros-0147,Kayce--Lannisport,0.0045445533931864459,0.0015940038872672858,125,112,13
westeros-0205,The Crag--Wayfarer's Rest,0.0062541351681740685,0.001592697714481697,104,113,-9
westeros-0148,King's Landing--Rosby,0.0060992004219741222,0.0015735066555774297,107,114,-7
westeros-0137,Inn (They Ley with Lions)--Inn of the Kneeling Man,0.0045348899451220451,0.0015696352514555725,126,115,11
westeros-0074,Darry--Palisade Village,0.0065442927194100473,0.0015303984579241501,98,116,-18
westeros-0160,Lord Harroway's Town--Unnamed Village,0.00626536933809713,0.0014932917652264602,103,117,-14
westeros-0126,Holdfast--Winterfell,0.0036697366254135333,0.0014900881036091621,140,118,22
westeros-0166,New Castle--White Harbor,0.0032153722592757599,0.0014893677270599876,149,119,30
westeros-0145,Ivy Inn--Sow's Horn,0.0071702263131425709,0.0014888954237493451,90,120,-30
westeros-0006,Acorn Hall--Pinkmaiden,0.009403945994045735,0.0014798641175909556,71,121,-50
westeros-0195,Sandstone--Starfall,0.0034887974521018075,0.0014790867148866047,142,122,20
westeros-0015,Ashemark--The Crag,0.0054209381539164509,0.0014040771437710173,116,123,-7
westeros-0169,Nightsong--Vulture's Roost,0.0046030693368295473,0.0013994883047789416,123,124,-1
westeros-0175,Oldtown--Sun House,0.0032292874188895489,0.0013911430073162531,148,125,23
westeros-0032,Blackhaven--Vulture's Roost,0.0052911456985735884,0.0013692246045896293,117,126,-9
westeros-0150,Kingsgrave--Skyreach,0.004298111883114639,0.0013640973960154035,132,127,5
westeros-0212,Vulture's Roost--Wyl,0.0048725633185530597,0.0013577405852381497,120,128,-8
westeros-0104,Goldengrove--Longtable,0.0050087804497731805,0.0013437016524437476,118,129,-11
westeros-0192,Salt Shore--The Tor,0.0039477044885955874,0.0013097072945215786,136,130,6
westeros-0093,Ghost Hill--Sunspear,0.0024859497952378871,0.0012732710199891946,158,131,27
westeros-0128,Honeyholt--Oldtown,0.0033906696703120799,0.0012626901265004229,144,132,12
westeros-0053,Cider Hall--Highgarden,0.0037185372973140892,0.0012544724416088961,139,133,6
westeros-0024,Bitterbridge--Grassy Vale,0.0046098015474208536,0.0012407457375513654,122,134,-12
westeros-0087,Feastfires--Lannisport,0.0034599309616836103,0.001204261454183841,143,135,8
westeros-0007,Acorn Hall--Riverrun,0.0085922215096089754,0.0011961953441796732,79,136,-57
westeros-0131,Hornvale--Stoney Sept,0.0060701968450130499,0.0011775538132159226,108,137,-29
westeros-0121,Hellholt--Yronwood,0.0044498000026011808,0.0011729097434001363,130,138,-8
westeros-0014,Ashemark--Golden Tooth,0.0045584704385380967,0.0011615494882161452,124,139,-15
westeros-0117,Hayford Castle--Village,0.0046967194375226824,0.0011606333087552754,121,140,-19
westeros-0206,The Dreadfort--White Harbor,0.0024842497761541258,0.001153538052430467,159,141,18
westeros-0069,Crossroads Inn--The Twins,0.0042317599176464691,0.0011488017463614866,134,142,-8
westeros-0154,Last Hearth--Queenscrown,0.0028569446557245941,0.0011260122361539202,152,143,9
westeros-0168,Nightsong--Tower of Joy,0.0033593720164920697,0.0011201008470679702,145,144,1
westeros-0211,Vaith--Yronwood,0.0044705496111065984,0.0011190813972008287,129,145,-16
westeros-0022,Barrowton--Winterfell,0.0024601532127487445,0.0010681224953214268,160,146,14
westeros-0123,Highgarden--Red Lake,0.0031734685875193232,0.0010603139143712434,150,147,3
westeros-0143,Inn of the Kneeling Man--Stone Hedge,0.0040844605953293091,0.0010168154907532424,135,148,-13
westeros-0198,Skyreach--Tower of Joy,0.0028076111339468898,0.00098621740138929393,153,149,4
westeros-0081,Duskendale--Sow's Horn,0.0059033361725491229,0.00097067076959225838,114,150,-36
westeros-0004,Unnamed house--The Twins,0.003346278815235304,0.00096255800852231943,146,151,-5
westeros-0050,Cerwyn--Torrhen's Square,0.0027421376698242091,0.00093568600027181927,154,152,2
westeros-0204,The Bloody Gate--The Eyrie,0.0020683965904938133,0.00091730778152183284,166,153,13
westeros-0047,Cerwyn--Deepwood Motte,0.0026285519344190949,0.00090432814299707309,156,154,2
westeros-0191,Salt Shore--Sunspear,0.001789476849050912,0.0009027924754471784,168,155,13
westeros-0200,Stonehelm--Storm's End,0.0023202064154501443,0.0008887927237845501,162,156,6
westeros-0084,Fawnton--Stonehelm,0.0030840286490640919,0.00087831732593049135,151,157,-6
westeros-0111,Harrenhal--Lord Harroway's Town,0.0096153703981598886,0.00086797338297114098,68,158,-90
westeros-0075,Darry--The Twins,0.0036238573870216841,0.00086214544655719935,141,159,-18
westeros-0055,Clegane Hall--Deep Den,0.002505896234477346,0.00086177476013923351,157,160,-3
westeros-0110,Griffin's Roost--Storm's End,0.0022141481326420362,0.00084259331130013757,165,161,4
westeros-0179,Palisade Village--The Eyrie,0.0018485302763494387,0.00081114871060567612,167,162,5
westeros-0156,Lemonwood--Planky Town,0.0017308249471389139,0.00080838160391988561,170,163,7
westeros-0141,Inn (They Ley with Lions)--Stone Hedge,0.0037619518060820639,0.00074509154572858995,138,164,-26
westeros-0046,Castle Black--Queenscrown,0.0014564822711861305,0.00073296194209284337,175,165,10
westeros-0011,Antlers--Sow's Horn,0.0042831086071857512,0.00069567114105792047,133,166,-33
westeros-0193,Salt Shore--Vaith,0.001765435784801408,0.00068859335287275504,169,167,2
westeros-0129,Horn Hill--Uplands,0.0026376861928565773,0.00064948199275085931,155,168,-13
westeros-0106,Goldengrove--Red Lake,0.002285132190648301,0.00061955991014198543,163,169,-6
westeros-0112,Harrenhal--Unnamed Village,0.0023685304063473015,0.00056212893023425449,161,170,-9
westeros-0144,Ivy Inn--King's Landing,0.0022281661789472496,0.00055723244002645685,164,171,-7
westeros-0146,Ivy Inn--Village,0.0014861904690805423,0.00055590037547570111,173,172,1
westeros-0163,New Castle--Oldcastle,0.0011388306239101193,0.00055470839165720938,177,173,4
westeros-0197,Skyreach--Starfall,0.0014758431126065696,0.00055128178259556857,174,174,0
westeros-0162,Mole's Town--Queenscrown,0.0010905361108346037,0.00053527890534621459,179,175,4
westeros-0173,Oldcastle--Ramsgate,0.00099199570808457369,0.00050729928127569936,184,176,8
westeros-0048,Cerwyn--Holdfast,0.001544813875065603,0.00049542924923474496,171,177,-6
westeros-0164,New Castle--Ramsgate,0.00090699108172796305,0.00045021911829717487,186,178,8
westeros-0182,Planky Town--Salt Shore,0.00093092690678787612,0.00043514552095057137,185,179,6
westeros-0018,Bandallon--Honeyholt,0.0010660636424498122,0.00043388222230351502,180,180,0
westeros-0196,Seagard--Wendish Town,0.0010199832936594339,0.00042954209109095568,183,181,2
westeros-0152,Kingsgrave--Tower of Joy,0.0010645360756188842,0.00042110756014631864,181,182,-1
westeros-0017,Bandallon--Brightwater Keep,0.00085742515621828428,0.00039748182004185179,190,183,7
westeros-0202,Sun House--Three Towers,0.00086476162716285498,0.00039442471828347511,189,184,5
westeros-0100,Golden Tooth--Hornvale,0.0011624594589506451,0.00037775990526897792,176,185,-9
westeros-0186,Raventree Hall--Wendish Town,0.00086877325871033363,0.00035887777712454306,188,186,2
westeros-0054,Cider Hall--Horn Hill,0.0010203221594247205,0.00035398058401866627,182,187,-5
westeros-0086,Feastfires--Kayce,0.00081488969914490512,0.00034822247127425142,191,188,3
westeros-0157,Lemonwood--Salt Shore,0.0007573691647942487,0.00034784178389713827,193,189,4
westeros-0115,Hayford Castle--Rosby,0.0014875463341255182,0.00033001645469588238,172,190,-18
westeros-0210,Tower of Joy--Vulture's Roost,0.00079787853516490406,0.0003192159579845146,192,191,1
westeros-0096,Godsgrace--Salt Shore,0.00089055403539864864,0.00030918370459450664,187,192,-5
westeros-0092,Ghost Hill--Salt Shore,0.00065411443613609004,0.00030569723943087081,194,193,1
westeros-0165,New Castle--The Dreadfort,0.00057625031011439667,0.00027269274482563899,198,194,4
westeros-0037,Bronzegate--Haystack Hall,0.00058785453742881365,0.00025835716670600639,197,195,2
westeros-0178,Palisade Village--The Bloody Gate,0.00063138034018404431,0.00025661160495239814,195,196,-1
westeros-0027,Blackcrown--Honeyholt,0.00061943505865863621,0.00024473182449923276,196,197,-1
westeros-0056,Clegane Hall--Kayce,0.00051784892640277329,0.00020883830652409602,199,198,1
westeros-0172,Old Stone Bridge Inn--Sow's Horn,0.0011102520831990771,0.00019481418020949129,178,199,-21
westeros-0036,Bronzegate--Griffin's Roost,0.00045212414657246758,0.00019252651928792022,201,200,1
westeros-0109,Griffin's Roost--Haystack Hall,0.00044274699322047694,0.00018920216701755909,204,201,3
westeros-0077,Deepwood Motte--Holdfast,0.00040926371412243403,0.00018869842929305835,207,202,5
westeros-0125,Holdfast--Torrhen's Square,0.00039746250037424715,0.00018213824856518459,208,203,5
westeros-0107,Grassy Vale--Longtable,0.00045205229931153225,0.00018193716778327267,202,204,-2
westeros-0185,Raventree Hall--Seagard,0.00043168294855674039,0.00017736821241802128,206,205,1
westeros-0139,Inn (They Ley with Lions)--Raventree Hall,0.00044688793117436329,0.00015597995873646358,203,206,-3
westeros-0101,Golden Tooth--The Crag,0.00039101631622460065,0.00015381043898436372,209,207,2
westeros-0142,Inn of the Kneeling Man--Lord Goodbrook's Village,0.00034756279719161192,0.00013698620396780366,210,208,2
westeros-0021,Barrowton--Holdfast,0.00025553502311467211,0.00011904197411967635,213,209,4
westeros-0009,Antlers--Duskendale,0.00046893253820912573,0.0001183731161838006,200,210,-10
westeros-0138,Inn (They Ley with Lions)--Lord Goodbrook's Village,0.0003201192573915626,0.00010987971825001911,212,211,1
westeros-0113,Hayford Castle--Ivy Inn,0.00043795651400202625,9.370203891901629e-05,205,212,-7
westeros-0063,Crakehall--Silverhill,0.00033303355095661789,9.2554125375867344e-05,211,213,-2
