edge_id,physical_link_id,origin,destination,mode,flow,origin_terminal_id,destination_terminal_id
V_r2_c4_S,V_r2_c4,r2c4,r3c4,road,0.00466000,,
V_r2_c4_N,V_r2_c4,r3c4,r2c4,road,0.00466000,,
V_r2_c5_S,V_r2_c5,r2c5,r3c5,road,0.00470000,,
V_r2_c5_N,V_r2_c5,r3c5,r2c5,road,0.00470000,,
V_r3_c1_S,V_r3_c1,r3c1,r4c1,road,0.00474000,,
V_r3_c1_N,V_r3_c1,r4c1,r3c1,road,0.00474000,,
V_r3_c2_S,V_r3_c2,r3c2,r4c2,road,0.00478000,,
V_r3_c2_N,V_r3_c2,r4c2,r3c2,road,0.00478000,,
V_r3_c3_S,V_r3_c3,r3c3,r4c3,road,0.00782000,,
V_r3_c3_N,V_r3_c3,r4c3,r3c3,road,0.00782000,,
V_r3_c4_S,V_r3_c4,r3c4,r4c4,road,0.00486000,,
V_r3_c4_N,V_r3_c4,r4c4,r3c4,road,0.00486000,,
V_r3_c5_S,V_r3_c5,r3c5,r4c5,road,0.00490000,,
V_r3_c5_N,V_r3_c5,r4c5,r3c5,road,0.00490000,,
V_r4_c1_S,V_r4_c1,r4c1,r5c1,road,0.00414000,,
V_r4_c1_N,V_r4_c1,r5c1,r4c1,road,0.00414000,,
V_r4_c2_S,V_r4_c2,r4c2,r5c2,road,0.00418000,,
V_r4_c2_N,V_r4_c2,r5c2,r4c2,road,0.00418000,,
V_r4_c3_S,V_r4_c3,r4c3,r5c3,road,0.00722000,,
V_r4_c3_N,V_r4_c3,r5c3,r4c3,road,0.00722000,,
V_r4_c4_S,V_r4_c4,r4c4,r5c4,road,0.00426000,,
V_r4_c4_N,V_r4_c4,r5c4,r4c4,road,0.00426000,,
V_r4_c5_S,V_r4_c5,r4c5,r5c5,road,0.00430000,,
V_r4_c5_N,V_r4_c5,r5c5,r4c5,road,0.00430000,,
