origin_node,destination_node,domestic_node,foreign_node,port_group,foreign_region,direction,raw_value_usd,raw_direction_share,balanced_direction_share,model_share
10,229,10,229,San Diego,Africa,domestic_to_foreign,29063,1.1716495681487648e-07,1.3222845236635989e-07,6.6114226183179946e-08
10,230,10,230,San Diego,Asia,domestic_to_foreign,14089185,5.6799323954230658e-05,0.00010837963915438511,5.4189819577192556e-05
10,231,10,231,San Diego,Australia and Oceania,domestic_to_foreign,90228,3.6374633463485104e-07,3.4056921057635322e-07,1.7028460528817661e-07
10,232,10,232,San Diego,Europe,domestic_to_foreign,2219699,8.9485234654724045e-06,1.3589130535431175e-05,6.7945652677155874e-06
10,234,10,234,San Diego,South and Central America,domestic_to_foreign,85397339,0.00034427194494857268,0.00038257825864662003,0.00019128912932331001
55,229,55,229,Freeport / Houston,Africa,domestic_to_foreign,1841491450,0.0074238126213472212,0.0039537866411197831,0.0019768933205598915
55,230,55,230,Freeport / Houston,Asia,domestic_to_foreign,7520917162,0.030319923424766658,0.027301825351285412,0.013650912675642706
55,231,55,231,Freeport / Houston,Australia and Oceania,domestic_to_foreign,293075865,0.0011815098601729887,0.00052203925017781734,0.00026101962508890867
55,232,55,232,Freeport / Houston,Europe,domestic_to_foreign,10576159661,0.042636867837054115,0.030555164940384787,0.015277582470192393
55,234,55,234,Freeport / Houston,South and Central America,domestic_to_foreign,8112429740,0.032704554937577665,0.017150861756281499,0.0085754308781407496
78,229,78,229,New Orleans,Africa,domestic_to_foreign,243207857,0.0009804713230720729,0.0004968826853588268,0.0002484413426794134
78,230,78,230,New Orleans,Asia,domestic_to_foreign,1332759845,0.0053729054015079821,0.0046036841265836058,0.0023018420632918029
78,231,78,231,New Orleans,Australia and Oceania,domestic_to_foreign,44496785,0.00017938491872572838,7.5419643367178194e-05,3.7709821683589097e-05
78,232,78,232,New Orleans,Europe,domestic_to_foreign,2099830472,0.0084652839201197986,0.0057726284731664601,0.0028863142365832301
78,234,78,234,New Orleans,South and Central America,domestic_to_foreign,2060178066,0.0083054286940042587,0.0041445033626014783,0.0020722516813007391
104,230,104,230,Gulfport,Asia,domestic_to_foreign,484596,1.953606627418432e-06,2.7179368119060822e-06,1.3589684059530411e-06
104,234,104,234,Gulfport,South and Central America,domestic_to_foreign,922490632,0.0037189407514849849,0.0030132531152646737,0.0015066265576323368
106,229,106,229,Mobile,Africa,domestic_to_foreign,31824569,0.00012829798205749775,7.0295955786376724e-05,3.5147977893188362e-05
106,230,106,230,Mobile,Asia,domestic_to_foreign,1412071784,0.0056926445856197083,0.0052735363095092538,0.0026367681547546269
106,231,106,231,Mobile,Australia and Oceania,domestic_to_foreign,7594063,3.061480450897882e-05,1.3916229555477256e-05,6.958114777738628e-06
106,232,106,232,Mobile,Europe,domestic_to_foreign,484021276,0.0019512896775976812,0.0014386176122237278,0.00071930880611186388
106,234,106,234,Mobile,South and Central America,domestic_to_foreign,187207882,0.00075471229432386513,0.00040717716505399835,0.00020358858252699917
158,229,158,229,Tampa,Africa,domestic_to_foreign,60165,2.4254996479259e-07,3.9180348983297316e-07,1.9590174491648658e-07
158,230,158,230,Tampa,Asia,domestic_to_foreign,27980457,0.00011280077886197256,0.00030807505764919314,0.00015403752882459657
158,231,158,231,Tampa,Australia and Oceania,domestic_to_foreign,12444,5.0166903712773044e-08,6.7230131419603512e-08,3.3615065709801756e-08
158,232,158,232,Tampa,Europe,domestic_to_foreign,29806720,0.0001201631993116029,0.00026118707265854809,0.00013059353632927404
158,234,158,234,Tampa,South and Central America,domestic_to_foreign,26377368,0.00010633806498331572,0.00016914038400180903,8.4570192000904513e-05
159,234,159,234,Port Manatee,South and Central America,domestic_to_foreign,26554095,0.00010705052451340631,0.0002341489362985371,0.00011707446814926855
164,229,164,229,Jacksonville,Africa,domestic_to_foreign,46316346,0.00018672032064524918,0.00013875279354891548,6.9376396774457739e-05
164,230,164,230,Jacksonville,Asia,domestic_to_foreign,909500644,0.0036665727446362163,0.00460667753539451,0.002303338767697255
164,231,164,231,Jacksonville,Australia and Oceania,domestic_to_foreign,4311023,1.7379514283554322e-05,1.0714387884973848e-05,5.3571939424869241e-06
164,232,164,232,Jacksonville,Europe,domestic_to_foreign,37871701,0.00015267646878061158,0.00015266355414565976,7.6331777072829882e-05
164,234,164,234,Jacksonville,South and Central America,domestic_to_foreign,2253489375,0.0090847464234476132,0.0066474401477446205,0.0033237200738723102
167,229,167,229,Savannah,Africa,domestic_to_foreign,882542605,0.0035578937550188759,0.0024924982301228853,0.0012462491150614426
167,230,167,230,Savannah,Asia,domestic_to_foreign,10371759368,0.041812845833052698,0.049525511157718964,0.024762755578859482
167,231,167,231,Savannah,Australia and Oceania,domestic_to_foreign,590155417,0.0023791602362753473,0.0013827547372157988,0.00069137736860789938
167,232,167,232,Savannah,Europe,domestic_to_foreign,6295717840,0.025380638916913171,0.023925308427806567,0.011962654213903284
167,233,167,233,Savannah,North America,domestic_to_foreign,2981,1.2017642234633272e-08,7.7573740622613228e-07,3.8786870311306614e-07
167,234,167,234,Savannah,South and Central America,domestic_to_foreign,2000997070,0.0080668456557562666,0.0055646404194107553,0.0027823202097053776
180,229,180,229,Charleston,Africa,domestic_to_foreign,733342232,0.0029564054276160455,0.0021412318434702962,0.0010706159217351481
180,230,180,230,Charleston,Asia,domestic_to_foreign,5210984818,0.021007632080788183,0.025724927604496493,0.012862463802248246
180,231,180,231,Charleston,Australia and Oceania,domestic_to_foreign,1347963351,0.005434197013658301,0.0032652366368762817,0.0016326183184381408
180,232,180,232,Charleston,Europe,domestic_to_foreign,5991171316,0.024152886092614897,0.023538666009984523,0.011769333004992262
180,234,180,234,Charleston,South and Central America,domestic_to_foreign,2312253500,0.009321648882515467,0.006647891424251897,0.0033239457121259485
193,229,193,229,Miami / Port Everglades / West Palm Beach,Africa,domestic_to_foreign,68995866,0.00027815083302807709,0.00019305867922617614,9.6529339613088069e-05
193,230,193,230,Miami / Port Everglades / West Palm Beach,Asia,domestic_to_foreign,733261790,0.0029560811326892968,0.003468986992064424,0.001734493496032212
193,231,193,231,Miami / Port Everglades / West Palm Beach,Australia and Oceania,domestic_to_foreign,65346793,0.00026343991259799996,0.0001516945989894727,7.5847299494736351e-05
193,232,193,232,Miami / Port Everglades / West Palm Beach,Europe,domestic_to_foreign,797619499,0.0032155336391645191,0.0030031369269708018,0.0015015684634854009
193,234,193,234,Miami / Port Everglades / West Palm Beach,South and Central America,domestic_to_foreign,17363124200,0.069997925095975536,0.047839387143243546,0.023919693571621773
200,229,200,229,Baltimore,Africa,domestic_to_foreign,278570265,0.0011230317953629598,0.00086600688672331923,0.00043300344336165962
200,230,200,230,Baltimore,Asia,domestic_to_foreign,1590970305,0.0064138584137589331,0.008362305278558196,0.004181152639279098
200,231,200,231,Baltimore,Australia and Oceania,domestic_to_foreign,222968377,0.00089887761973258434,0.00057505507394567488,0.00028752753697283744
200,232,200,232,Baltimore,Europe,domestic_to_foreign,2181806681,0.0087957638770179945,0.0091267460533600818,0.0045633730266800409
200,234,200,234,Baltimore,South and Central America,domestic_to_foreign,1722437161,0.0069438556097066182,0.0052725590209205184,0.0026362795104602592
203,229,203,229,Wilmington NC,Africa,domestic_to_foreign,31614472,0.00012745099427468335,5.355891273950414e-05,2.677945636975207e-05
203,230,203,230,Wilmington NC,Asia,domestic_to_foreign,2017575237,0.0081336790941702233,0.0057790029220674026,0.0028895014610337013
203,231,203,231,Wilmington NC,Australia and Oceania,domestic_to_foreign,91679828,0.00036959925294757263,0.00012885438065931662,6.4427190329658309e-05
203,232,203,232,Wilmington NC,Europe,domestic_to_foreign,1362918825,0.0054944887063726111,0.0031069117704567916,0.0015534558852283958
203,234,203,234,Wilmington NC,South and Central America,domestic_to_foreign,276988489,0.0011166550029901555,0.00046206068249128981,0.0002310303412456449
208,229,208,229,Norfolk / Newport News,Africa,domestic_to_foreign,1074264532,0.0043308040291619408,0.002666658354891811,0.0013333291774459055
208,230,208,230,Norfolk / Newport News,Asia,domestic_to_foreign,7933715823,0.031984085324408947,0.033297385778507348,0.016648692889253674
208,231,208,231,Norfolk / Newport News,Australia and Oceania,domestic_to_foreign,237591830,0.00095783079866212971,0.00048929099474749225,0.00024464549737374612
208,232,208,232,Norfolk / Newport News,Europe,domestic_to_foreign,9244191666,0.037267154709951865,0.030877220119912174,0.015438610059956087
208,233,208,233,Norfolk / Newport News,North America,domestic_to_foreign,499111,2.0121225875109181e-06,0.00011415813422693844,5.7079067113469222e-05
208,234,208,234,Norfolk / Newport News,South and Central America,domestic_to_foreign,2849411004,0.011487152641898422,0.0069647047983098856,0.0034823523991549428
209,229,209,229,Chester / Philadelphia / Wilmington DE,Africa,domestic_to_foreign,12929633,5.2124690915500875e-05,3.9768984340701549e-05,1.9884492170350774e-05
209,230,209,230,Chester / Philadelphia / Wilmington DE,Asia,domestic_to_foreign,717872058,0.00289403876661654,0.0037332124653947805,0.0018666062326973903
209,231,209,231,Chester / Philadelphia / Wilmington DE,Australia and Oceania,domestic_to_foreign,1063600639,0.0042878134719991062,0.0027140414132743635,0.0013570207066371817
209,232,209,232,Chester / Philadelphia / Wilmington DE,Europe,domestic_to_foreign,2663382090,0.010737193254528626,0.011023128950417377,0.0055115644752086884
209,234,209,234,Chester / Philadelphia / Wilmington DE,South and Central America,domestic_to_foreign,856626784,0.0034534163766241108,0.002594426824794683,0.0012972134123973415
212,229,212,229,New York / New Jersey,Africa,domestic_to_foreign,1209445929,0.0048757760740877802,0.0038487953948372821,0.0019243976974186411
212,230,212,230,New York / New Jersey,Asia,domestic_to_foreign,13318158217,0.053690996536782075,0.071657209738237887,0.035828604869118943
212,231,212,231,New York / New Jersey,Australia and Oceania,domestic_to_foreign,377574639,0.0015221593184746097,0.00099682922445296107,0.00049841461222648053
212,232,212,232,New York / New Jersey,Europe,domestic_to_foreign,14867045589,0.059935201266214252,0.063661395069857504,0.031830697534928752
212,233,212,233,New York / New Jersey,North America,domestic_to_foreign,189298,7.6313842325783607e-07,5.5505749594846777e-05,2.7752874797423388e-05
212,234,212,234,New York / New Jersey,South and Central America,domestic_to_foreign,4635462697,0.018687464704640812,0.014525227147635803,0.0072626135738179014
224,229,224,229,Boston,Africa,domestic_to_foreign,18939420,7.6352624519107046e-05,6.2064925129581253e-05,3.1032462564790626e-05
224,230,224,230,Boston,Asia,domestic_to_foreign,673075081,0.0027134436499512953,0.0037292408164343524,0.0018646204082171762
224,231,224,231,Boston,Australia and Oceania,domestic_to_foreign,6229553,2.5113901118982359e-05,1.693620199059388e-05,8.4681009952969399e-06
224,232,224,232,Boston,Europe,domestic_to_foreign,212383902,0.00085620722932955849,0.0009365139856828301,0.00046825699284141505
224,234,224,234,Boston,South and Central America,domestic_to_foreign,19932740,8.0357107707468639e-05,6.4318815469212681e-05,3.215940773460634e-05
229,1,1,229,Oakland,Africa,foreign_to_domestic,242731137,0.00034372428457495746,0.00096192928285108233,0.00048096464142554117
230,1,1,230,Oakland,Asia,foreign_to_domestic,20252755798,0.028679320186840603,0.033560173867440792,0.016780086933720396
231,1,1,231,Oakland,Australia and Oceania,foreign_to_domestic,735564409,0.0010416107029660822,0.0037252543110764241,0.001862627155538212
232,1,1,232,Oakland,Europe,foreign_to_domestic,3560470833,0.0050418759824081734,0.0072411983508761588,0.0036205991754380794
233,1,1,233,Oakland,North America,foreign_to_domestic,7705764,1.0911901335523604e-05,6.3107927749274562e-06,3.1553963874637281e-06
234,1,1,234,Oakland,South and Central America,foreign_to_domestic,1342311687,0.0019008073294308314,0.0047997811433800955,0.0023998905716900477
229,6,6,229,Los Angeles / Long Beach / Port Hueneme,Africa,foreign_to_domestic,295392316,0.00041829620105985726,0.00077147714352523197,0.00038573857176261598
230,6,6,230,Los Angeles / Long Beach / Port Hueneme,Asia,foreign_to_domestic,269846836731,0.38212201387322769,0.29468879432707434,0.14734439716353717
231,6,6,231,Los Angeles / Long Beach / Port Hueneme,Australia and Oceania,foreign_to_domestic,2107581558,0.0029844830463877578,0.0070343799592526386,0.0035171899796263193
232,6,6,232,Los Angeles / Long Beach / Port Hueneme,Europe,foreign_to_domestic,7561045955,0.01070697045151134,0.010134238097619748,0.0050671190488098738
233,6,6,233,Los Angeles / Long Beach / Port Hueneme,North America,foreign_to_domestic,31589680,4.4733198600523356e-05,1.704981443861369e-05,8.5249072193068448e-06
234,6,6,234,Los Angeles / Long Beach / Port Hueneme,South and Central America,foreign_to_domestic,3909819536,0.0055365782051636503,0.0092136347234513371,0.0046068173617256685
229,9,9,229,Everett / Seattle,Africa,foreign_to_domestic,61536347,8.7139775759099788e-05,0.00016117241743056668,8.0586208715283342e-05
230,9,9,230,Everett / Seattle,Asia,foreign_to_domestic,15440359755,0.02186463045475431,0.01690981452368389,0.008454907261841945
231,9,9,231,Everett / Seattle,Australia and Oceania,foreign_to_domestic,724146409,0.0010254420155459889,0.0024238344457486044,0.0012119172228743022
232,9,9,232,Everett / Seattle,Europe,foreign_to_domestic,1324186919,0.0018751413889549413,0.0017798920276420496,0.0008899460138210248
233,9,9,233,Everett / Seattle,North America,foreign_to_domestic,8097857,1.1467132475531195e-05,4.3830827702705537e-06,2.1915413851352769e-06
234,9,9,234,Everett / Seattle,South and Central America,foreign_to_domestic,875612887,0.0012399291531711818,0.0020692909650413651,0.0010346454825206825
230,10,10,230,San Diego,Asia,foreign_to_domestic,66368388,9.3982284125720519e-05,4.2536356992858053e-05,2.1268178496429026e-05
231,10,10,231,San Diego,Australia and Oceania,foreign_to_domestic,1312620,1.8587618218044299e-06,2.5711841529033032e-06,1.2855920764516516e-06
232,10,10,232,San Diego,Europe,foreign_to_domestic,53702208,7.6046086435526227e-05,4.2242936525537228e-05,2.1121468262768614e-05
234,10,10,234,San Diego,South and Central America,foreign_to_domestic,301999062,0.00042765181596071141,0.00041766934833283498,0.00020883467416641749
229,55,55,229,Freeport / Houston,Africa,foreign_to_domestic,367883358,0.00052094859192120435,0.0017496728084270732,0.0008748364042135366
230,55,55,230,Freeport / Houston,Asia,foreign_to_domestic,13971966071,0.019785282190063876,0.027786039158530593,0.013893019579265297
231,55,55,231,Freeport / Houston,Australia and Oceania,foreign_to_domestic,240913564,0.00034115047395136304,0.0014642846719579196,0.00073214233597895979
232,55,55,232,Freeport / Houston,Europe,foreign_to_domestic,13147030138,0.018617115151854022,0.032089260953643728,0.016044630476821864
233,55,55,233,Freeport / Houston,North America,foreign_to_domestic,24144879,3.4190839144068749e-05,2.37313417769436e-05,1.18656708884718e-05
234,55,55,234,Freeport / Houston,South and Central America,foreign_to_domestic,3814783095,0.0054019999508242615,0.016370689005105913,0.0081853445025529565
229,78,78,229,New Orleans,Africa,foreign_to_domestic,160345451,0.00022706038504579615,0.00076398047811466693,0.00038199023905733347
230,78,78,230,New Orleans,Asia,foreign_to_domestic,1323992388,0.0018748659194390439,0.0026377493613462264,0.0013188746806731132
231,78,78,231,New Orleans,Australia and Oceania,foreign_to_domestic,57204874,8.1006106727257596e-05,0.00034831823764993285,0.00017415911882496642
232,78,78,232,New Orleans,Europe,foreign_to_domestic,1510926517,0.0021395777341131034,0.0036944884820368194,0.0018472442410184097
233,78,78,233,New Orleans,North America,foreign_to_domestic,37459192,5.304483854066061e-05,3.6883708694261457e-05,1.8441854347130729e-05
234,78,78,234,New Orleans,South and Central America,foreign_to_domestic,1770539109,0.0025072073409066085,0.0076116980233068374,0.0038058490116534187
229,104,104,229,Gulfport,Africa,foreign_to_domestic,29879654,4.2311682058726842e-05,6.1144542296710748e-05,3.0572271148355374e-05
230,104,104,230,Gulfport,Asia,foreign_to_domestic,4590526,6.5005062171844116e-06,3.9279595460073454e-06,1.9639797730036727e-06
231,104,104,231,Gulfport,Australia and Oceania,foreign_to_domestic,7798959,1.1043871980480303e-05,2.0395592896883706e-05,1.0197796448441853e-05
232,104,104,232,Gulfport,Europe,foreign_to_domestic,6090812,8.6250162342401328e-06,6.3965041346928573e-06,3.1982520673464287e-06
234,104,104,234,Gulfport,South and Central America,foreign_to_domestic,1583655220,0.0022425666695900528,0.0029241064532391703,0.0014620532266195851
229,106,106,229,Mobile,Africa,foreign_to_domestic,34821533,4.9309728723547622e-05,0.00011963050089731347,5.9815250448656736e-05
230,106,106,230,Mobile,Asia,foreign_to_domestic,2925484676,0.0041426911261619528,0.0042025634828762124,0.0021012817414381062
231,106,106,231,Mobile,Australia and Oceania,foreign_to_domestic,23428364,3.3176203737972391e-05,0.00010286166752082542,5.1430833760412708e-05
232,106,106,232,Mobile,Europe,foreign_to_domestic,568346169,0.00080481796750469169,0.001002056771736563,0.00050102838586828149
233,106,106,233,Mobile,North America,foreign_to_domestic,7357098,1.0418165868014908e-05,5.2233741528108308e-06,2.6116870764054154e-06
234,106,106,234,Mobile,South and Central America,foreign_to_domestic,571379946,0.00080911400814361869,0.0017712074749434005,0.00088560373747170024
229,158,158,229,Tampa,Africa,foreign_to_domestic,3648682,5.1667891708986847e-06,5.7599801303076233e-06,2.8799900651538117e-06
230,158,158,230,Tampa,Asia,foreign_to_domestic,498603074,0.00070605686199016397,0.00032912611497932815,0.00016456305748966407
231,158,158,231,Tampa,Australia and Oceania,foreign_to_domestic,471994,6.6837655019789441e-07,9.5222375650109692e-07,4.7611187825054846e-07
232,158,158,232,Tampa,Europe,foreign_to_domestic,41771222,5.9150974923220192e-05,3.3841336600724273e-05,1.6920668300362136e-05
233,158,158,233,Tampa,North America,foreign_to_domestic,59837,8.4733381428983013e-08,1.9521147495492652e-08,9.760573747746326e-09
234,158,158,234,Tampa,South and Central America,foreign_to_domestic,259168400,0.00036700059982183665,0.00036916237131868779,0.0001845811856593439
230,159,159,230,Port Manatee,Asia,foreign_to_domestic,5325201,7.5408574547353933e-06,2.3084775957023819e-06,1.1542387978511909e-06
232,159,159,232,Port Manatee,Europe,foreign_to_domestic,4499353,6.371398865796062e-06,2.3938815737882569e-06,1.1969407868941285e-06
234,159,159,234,Port Manatee,South and Central America,foreign_to_domestic,245281016,0.00034733509176623967,0.00022944657713191283,0.00011472328856595641
229,164,164,229,Jacksonville,Africa,foreign_to_domestic,20359348,2.8830262207821285e-05,6.5465723385928901e-05,3.273286169296445e-05
230,164,164,230,Jacksonville,Asia,foreign_to_domestic,5453553538,0.0077226136350207024,0.0073325005955160224,0.0036662502977580112
231,164,164,231,Jacksonville,Australia and Oceania,foreign_to_domestic,3495481,4.9498458286806319e-06,1.4363974134575852e-05,7.1819870672879258e-06
232,164,164,232,Jacksonville,Europe,foreign_to_domestic,367102104,0.00051984228155847029,0.00060579032773462572,0.00030289516386731286
233,164,164,233,Jacksonville,North America,foreign_to_domestic,1193470,1.6900370796338111e-06,7.9307118780847226e-07,3.9653559390423613e-07
234,164,164,234,Jacksonville,South and Central America,foreign_to_domestic,1219201937,0.0017264753040221921,0.003537334726801926,0.001768667363400963
229,167,167,229,Savannah,Africa,foreign_to_domestic,491352926,0.00069579014481014863,0.0014898255414864459,0.00074491277074322296
230,167,167,230,Savannah,Asia,foreign_to_domestic,44436623007,0.062925369364574643,0.056338507352965049,0.028169253676482525
231,167,167,231,Savannah,Australia and Oceania,foreign_to_domestic,300232732,0.00042515056901284542,0.0011633689551356719,0.00058168447756783593
232,167,167,232,Savannah,Europe,foreign_to_domestic,13362885505,0.018922781464428249,0.020793494039162683,0.010396747019581341
233,167,167,233,Savannah,North America,foreign_to_domestic,7949710,1.1257345951164004e-05,4.9813116684365807e-06,2.4906558342182904e-06
234,167,167,234,Savannah,South and Central America,foreign_to_domestic,1133582450,0.0016052321158656192,0.0031013115091730083,0.0015506557545865041
229,180,180,229,Charleston,Africa,foreign_to_domestic,715362781,0.0010130037833208723,0.0020330529721684755,0.0010165264860842378
230,180,180,230,Charleston,Asia,foreign_to_domestic,16696527236,0.023643451557186879,0.019841336586312971,0.0099206682931564857
231,180,180,231,Charleston,Australia and Oceania,foreign_to_domestic,609773891,0.00086348252237809558,0.0022146685681282193,0.0011073342840641097
232,180,180,232,Charleston,Europe,foreign_to_domestic,22397959701,0.031717079107840017,0.03266752021949855,0.016333760109749275
233,180,180,233,Charleston,North America,foreign_to_domestic,6630636,9.3894448134890811e-06,3.8942883116153785e-06,1.9471441558076893e-06
234,180,180,234,Charleston,South and Central America,foreign_to_domestic,1777264613,0.0025167311254501875,0.0045574808847274858,0.0022787404423637429
229,193,193,229,Miami / Port Everglades / West Palm Beach,Africa,foreign_to_domestic,62853470,8.9004914144177365e-05,0.00021041588074570682,0.00010520794037285341
230,193,193,230,Miami / Port Everglades / West Palm Beach,Asia,foreign_to_domestic,5923596690,0.0083882276478638839,0.0082919592193370015,0.0041459796096685007
231,193,193,231,Miami / Port Everglades / West Palm Beach,Australia and Oceania,foreign_to_domestic,188674866,0.00026717682014205685,0.00080719947103739538,0.00040359973551869769
232,193,193,232,Miami / Port Everglades / West Palm Beach,Europe,foreign_to_domestic,4147774043,0.0058735384472275338,0.0071260637065036951,0.0035630318532518476
233,193,193,233,Miami / Port Everglades / West Palm Beach,North America,foreign_to_domestic,60202460,8.5250898376307169e-05,4.164990865020876e-05,2.082495432510438e-05
234,193,193,234,Miami / Port Everglades / West Palm Beach,South and Central America,foreign_to_domestic,12639346334,0.017898199340405437,0.038178976154750313,0.019089488077375157
229,200,200,229,Baltimore,Africa,foreign_to_domestic,654141676,0.00092631041230513259,0.0016799357035891893,0.00083996785179459466
230,200,200,230,Baltimore,Asia,foreign_to_domestic,7399346893,0.010477993258517795,0.0079457820745796239,0.003972891037289812
231,200,200,231,Baltimore,Australia and Oceania,foreign_to_domestic,184915768,0.00026185367418449002,0.00060689330941123671,0.00030344665470561835
232,200,200,232,Baltimore,Europe,foreign_to_domestic,6583912281,0.009323280756069632,0.0086774122967841118,0.0043387061483920559
233,200,200,233,Baltimore,North America,foreign_to_domestic,5653866,8.0062701058936513e-06,3.0006608523902122e-06,1.5003304261951061e-06
234,200,200,234,Baltimore,South and Central America,foreign_to_domestic,2282735252,0.0032325129403061926,0.0052896482683523127,0.0026448241341761563
229,203,203,229,Wilmington NC,Africa,foreign_to_domestic,29971122,4.2441207150769326e-05,0.00020066137783938818,0.00010033068891969409
230,203,203,230,Wilmington NC,Asia,foreign_to_domestic,933952333,0.0013225418932863873,0.0026146160353618902,0.0013073080176809451
231,203,203,231,Wilmington NC,Australia and Oceania,foreign_to_domestic,509716,7.2179354326679981e-07,4.3612061721814393e-06,2.1806030860907197e-06
232,203,203,232,Wilmington NC,Europe,foreign_to_domestic,1441167418,0.0020407939658140715,0.004951771312655914,0.002475885656327957
233,203,203,233,Wilmington NC,North America,foreign_to_domestic,78493,1.1115158361056141e-07,1.0860311369806533e-07,5.4301556849032663e-08
234,203,203,234,Wilmington NC,South and Central America,foreign_to_domestic,291153877,0.00041229427468569954,0.0017588701332811713,0.00087943506664058565
229,208,208,229,Norfolk / Newport News,Africa,foreign_to_domestic,504910509,0.00071498863155905143,0.0017250803747512141,0.00086254018737560707
230,208,208,230,Norfolk / Newport News,Asia,foreign_to_domestic,22533552662,0.031909088234024455,0.03219192990910217,0.016095964954551085
231,208,208,231,Norfolk / Newport News,Australia and Oceania,foreign_to_domestic,63437791,8.9832353590840204e-05,0.00027698773533871079,0.00013849386766935539
232,208,208,232,Norfolk / Newport News,Europe,foreign_to_domestic,18992501502,0.026894711868233681,0.033301396789099359,0.01665069839454968
233,208,208,233,Norfolk / Newport News,North America,foreign_to_domestic,4809429,6.8104881914636814e-06,3.3957757489069629e-06,1.6978878744534815e-06
234,208,208,234,Norfolk / Newport News,South and Central America,foreign_to_domestic,2241672465,0.0031743651589433556,0.0069106275966063216,0.0034553137983031608
229,209,209,229,Chester / Philadelphia / Wilmington DE,Africa,foreign_to_domestic,238955580,0.00033837783152102988,0.00044519960280078782,0.00022259980140039391
230,209,209,230,Chester / Philadelphia / Wilmington DE,Asia,foreign_to_domestic,528262734,0.00074805701714222622,0.00041153804204344211,0.00020576902102172105
231,209,209,231,Chester / Philadelphia / Wilmington DE,Australia and Oceania,foreign_to_domestic,2992143696,0.0042370849655479883,0.0071242245793601451,0.0035621122896800726
232,209,209,232,Chester / Philadelphia / Wilmington DE,Europe,foreign_to_domestic,5316539686,0.0075285924276979723,0.0050833733503137142,0.0025416866751568571
233,209,209,233,Chester / Philadelphia / Wilmington DE,North America,foreign_to_domestic,1880584,2.663038611247933e-06,7.240705582213006e-07,3.620352791106503e-07
234,209,209,234,Chester / Philadelphia / Wilmington DE,South and Central America,foreign_to_domestic,4187501590,0.0059297954352648501,0.0070395189932206921,0.0035197594966103461
229,212,212,229,New York / New Jersey,Africa,foreign_to_domestic,2199155635,0.0031141583508891208,0.0057423014501009209,0.0028711507250504605
230,212,212,230,New York / New Jersey,Asia,foreign_to_domestic,67365415022,0.095394144194743513,0.073551144046794789,0.036775572023397395
231,212,212,231,New York / New Jersey,Australia and Oceania,foreign_to_domestic,312319392,0.00044226612580851418,0.0010421891219269503,0.00052109456096347516
232,212,212,232,New York / New Jersey,Europe,foreign_to_domestic,44326738070,0.062769764600296346,0.059399275995957297,0.029699637997978649
233,212,212,233,New York / New Jersey,North America,foreign_to_domestic,32580731,4.6136596203989017e-05,1.7580912255987867e-05,8.7904561279939336e-06
234,212,212,234,New York / New Jersey,South and Central America,foreign_to_domestic,6363452127,0.0090110937427037487,0.01499247079765529,0.0074962353988276449
229,224,224,229,Boston,Africa,foreign_to_domestic,8696471,1.2314811810904445e-05,2.1949672827491251e-05,1.0974836413745626e-05
230,224,224,230,Boston,Asia,foreign_to_domestic,2534439753,0.0035889441365664467,0.0026747881510195974,0.0013373940755097987
